"","carat","cut","color","clarity","depth","table","price","x","y","z"
"60",0.3,"Good","I","SI1",63.2,55,405,4.25,4.29,2.7
"129",0.91,"Fair","H","SI2",64.4,57,2763,6.11,6.09,3.93
"220",0.53,"Very Good","D","VVS2",57.5,64,2782,5.34,5.37,3.08
"314",0.61,"Ideal","G","IF",62.3,56,2800,5.43,5.45,3.39
"478",0.71,"Ideal","G","VS1",62.9,58,2820,5.66,5.69,3.57
"642",0.7,"Very Good","E","VS2",60.2,62,2843,5.71,5.75,3.45
"654",1.01,"Ideal","I","I1",61.5,57,2844,6.45,6.46,3.97
"660",1.27,"Premium","H","SI2",59.3,61,2845,7.12,7.05,4.2
"779",0.83,"Premium","E","SI2",59.2,60,2859,6.17,6.12,3.64
"795",0.79,"Premium","F","SI1",62.3,54,2862,5.97,5.91,3.7
"816",0.71,"Premium","H","VVS2",61.5,62,2863,5.74,5.68,3.51
"1199",0.91,"Premium","H","SI1",60.2,52,2935,6.27,6.15,3.74
"1235",0.71,"Premium","F","VS1",61.1,58,2942,5.76,5.72,3.51
"1362",1,"Fair","G","SI1",65.7,54,2964,6.24,6.16,4.07
"1506",0.72,"Ideal","D","SI1",61.1,59,2993,5.76,5.8,3.53
"1679",0.77,"Good","H","VVS2",57.9,61,3027,6.07,6.01,3.5
"1915",0.79,"Ideal","F","SI1",62,55,3081,5.93,5.95,3.68
"2065",0.32,"Premium","I","VVS2",61.9,59,561,4.35,4.38,2.7
"2105",0.8,"Good","F","VS1",63.3,55,3116,5.87,5.92,3.73
"2265",0.7,"Very Good","E","VS1",62.2,55,3154,5.65,5.67,3.52
"2405",0.67,"Very Good","G","VVS1",62,56,3178,5.6,5.62,3.48
"2648",0.83,"Ideal","E","SI1",62.7,57,3231,5.96,6.01,3.75
"2690",0.74,"Ideal","F","VS2",60.8,57,3246,5.85,5.87,3.56
"2857",0.9,"Very Good","I","SI1",61.7,58,3274,6.17,6.21,3.82
"2884",0.84,"Ideal","G","SI1",62.4,57,3279,6.06,6.03,3.77
"2913",0.8,"Premium","F","VS2",62.4,59,3285,5.92,5.85,3.67
"2961",1.07,"Very Good","H","SI2",61.8,63,3296,6.57,6.47,4.03
"3284",0.63,"Ideal","G","IF",61.9,56,3363,5.5,5.52,3.41
"3342",0.9,"Premium","I","SI1",63,60,3377,6.08,5.99,3.8
"3361",0.3,"Very Good","I","SI1",61.2,58,405,4.28,4.31,2.63
"3363",0.31,"Very Good","I","VS2",59.3,59,406,4.38,4.42,2.61
"3381",0.31,"Ideal","I","SI1",62.7,56,408,4.3,4.34,2.71
"3388",0.31,"Premium","I","SI1",61.5,59,408,4.35,4.37,2.68
"3414",0.39,"Ideal","J","SI1",61,56,568,4.71,4.73,2.88
"3791",0.91,"Very Good","D","SI2",62,62,3463,6.16,6.25,3.85
"3801",1,"Ideal","J","SI2",62.1,56,3465,6.34,6.41,3.96
"3919",1.02,"Premium","J","SI1",61.2,57,3496,6.58,6.43,3.98
"4027",0.71,"Good","D","VS1",59.2,56,3524,5.84,5.85,3.46
"4096",0.9,"Very Good","I","VS2",62.1,61,3535,6.08,6.12,3.79
"4163",0.92,"Premium","D","SI2",62.5,59,3550,6.24,6.2,3.89
"4284",1,"Premium","E","I1",60.9,61,3584,6.41,6.37,3.89
"4464",0.82,"Very Good","F","VS2",58.7,58,3621,6.1,6.2,3.61
"4615",0.7,"Ideal","F","VS1",61.2,56,3662,5.73,5.76,3.52
"4790",1,"Premium","G","SI2",59.1,59,3696,6.54,6.5,3.85
"4793",1.1,"Premium","I","SI2",62.4,59,3696,6.55,6.51,4.08
"4867",0.8,"Ideal","F","VS2",61.2,58,3713,5.99,6.03,3.68
"5331",0.96,"Premium","I","VS2",60.6,60,3808,6.47,6.4,3.9
"5462",1.17,"Fair","I","SI2",59.2,68,3833,6.91,6.84,4.07
"5540",0.91,"Fair","D","SI1",64.4,60,3855,6.08,6.04,3.9
"5744",0.91,"Good","F","SI1",66.1,57,3893,5.99,6.03,3.97
"5762",1.01,"Good","F","SI2",63.7,60,3897,6.37,6.29,4.02
"6132",0.93,"Ideal","H","SI1",61.6,54,3985,6.29,6.33,3.89
"6156",0.9,"Good","G","VS2",62,63,3990,6.06,6.13,3.78
"6309",0.83,"Ideal","E","SI1",61.5,55,4024,6.05,6.08,3.73
"6340",0.9,"Ideal","G","SI2",61.5,57,4032,6.19,6.23,3.82
"7055",0.33,"Ideal","H","VS1",61.7,54,579,4.45,4.47,2.75
"7063",0.33,"Very Good","G","VS2",62,58,579,4.42,4.45,2.75
"7273",1.04,"Premium","G","SI2",61.2,58,4200,6.5,6.57,4
"7602",0.92,"Good","E","SI1",63.7,57,4258,6.11,6.14,3.9
"7865",1,"Good","E","SI2",62.1,61,4307,6.36,6.4,3.96
"7991",1.16,"Premium","I","SI2",62.1,58,4326,6.78,6.71,4.19
"8339",0.9,"Very Good","F","VS2",59.6,59,4397,6.27,6.31,3.75
"8542",1.13,"Premium","I","VS2",60.2,61,4430,6.74,6.71,4.05
"8693",1.02,"Premium","F","SI2",62.5,60,4459,6.36,6.43,4
"8715",0.37,"Ideal","G","SI1",61.4,55,586,4.63,4.68,2.86
"8772",1.01,"Good","D","SI2",64.6,59,4468,6.23,6.3,4.05
"9110",1.06,"Ideal","I","VS2",62.3,56,4530,6.56,6.51,4.07
"9115",1.02,"Very Good","I","VS2",59.3,59,4532,6.56,6.6,3.9
"9153",1,"Ideal","J","VS2",62.4,54,4539,6.4,6.46,4.01
"9437",1,"Premium","I","SI1",59.6,58,4592,6.55,6.5,3.89
"9596",1.04,"Ideal","F","SI2",62.6,57,4630,6.48,6.45,4.05
"10100",1.31,"Very Good","G","SI2",63.4,58,4714,6.91,6.8,4.35
"10389",0.31,"Ideal","G","SI1",62.2,55,593,4.38,4.36,2.72
"10916",1.2,"Ideal","I","SI2",59.6,61,4890,6.95,6.97,4.15
"10938",1.01,"Very Good","F","SI1",59.5,62,4899,6.45,6.53,3.86
"11002",1.22,"Ideal","H","VS2",61.9,55,4914,6.88,6.83,4.24
"11104",1.02,"Very Good","H","SI1",62.8,58,4932,6.37,6.43,4.02
"11114",1.02,"Fair","H","SI1",56.9,58,4935,6.64,6.75,3.81
"11497",1,"Good","I","VS1",63.7,56,5018,6.34,6.32,4.03
"11797",1.03,"Good","D","SI1",60.1,62,5088,6.55,6.53,3.93
"12418",1.07,"Premium","H","SI1",59.2,61,5237,6.67,6.65,3.94
"12435",1.04,"Ideal","J","VVS2",61.1,58,5242,6.49,6.57,3.99
"12491",1.02,"Fair","F","SI1",64.8,59,5255,6.33,6.23,4.07
"12725",0.9,"Premium","E","VS2",62.6,60,5312,6.15,6.08,3.83
"12799",1.09,"Premium","H","SI1",59.8,60,5335,6.72,6.66,4
"13103",1.02,"Very Good","E","SI1",60.6,59,5424,6.47,6.49,3.93
"13749",1.04,"Good","D","SI1",63.7,58,5605,6.39,6.43,4.08
"14426",1.3,"Premium","H","VS2",62.7,58,5824,7.01,6.97,4.38
"14437",1.01,"Good","E","VS2",65.6,55,5829,6.16,6.22,4.06
"14767",1.06,"Premium","F","VS2",61.2,57,5942,6.64,6.49,4.02
"14878",1.54,"Good","I","SI2",57.9,62,5989,7.63,7.5,4.38
"14965",1.01,"Premium","G","VS2",61.6,58,6027,6.45,6.4,3.96
"15481",1.23,"Ideal","H","SI2",62.1,56,6199,6.85,6.82,4.24
"15935",1.22,"Ideal","D","SI2",61.8,58,6372,6.84,6.92,4.25
"16075",1.22,"Very Good","I","VS2",59.6,58,6419,6.95,6.98,4.15
"16891",1.47,"Premium","I","SI2",62.4,55,6742,7.34,7.24,4.55
"17049",0.3,"Ideal","F","VS1",62.1,55,612,4.31,4.35,2.69
"17826",1.5,"Fair","H","SI2",65.5,53,7187,7.14,7.11,4.67
"17910",1.03,"Very Good","F","VS1",62.2,57,7233,6.47,6.51,4.04
"18438",1.5,"Good","H","SI2",64.3,57,7500,7.18,7.15,4.61
"18643",1.11,"Ideal","G","VS2",62,56,7608,6.65,6.62,4.12
"18766",1.7,"Premium","H","SI2",62.1,56,7673,7.66,7.55,4.72
"18884",1.24,"Ideal","H","VS1",61.6,56,7743,6.95,6.87,4.26
"19366",0.4,"Very Good","D","SI2",63,59,622,4.64,4.69,2.94
"19658",1.17,"Ideal","H","IF",61,53,8266,6.89,6.85,4.19
"19682",0.4,"Very Good","E","SI2",58.7,59,622,4.78,4.82,2.82
"19822",1.51,"Fair","F","SI1",65.8,56,8387,7.16,7.12,4.7
"19915",1.51,"Very Good","F","SI2",63.2,60,8462,7.2,7.27,4.57
"19935",1.22,"Ideal","G","VS2",59.9,56,8485,7.01,6.97,4.19
"20695",1.53,"Ideal","I","SI1",61.9,54,8971,7.43,7.5,1.53
"20762",1.05,"Ideal","G","VVS2",60.4,54,9000,6.6,6.65,4
"20977",1.53,"Ideal","I","VS2",61.7,57,9189,7.36,7.41,4.56
"21032",0.31,"Good","F","VS2",63.9,56,625,4.29,4.32,2.75
"21093",1.51,"Premium","H","SI1",59.9,60,9261,7.45,7.4,4.45
"21614",1.22,"Very Good","G","VVS2",59.3,58,9706,6.97,6.99,4.14
"21635",1.02,"Very Good","F","VVS2",63.7,59,9728,6.34,6.38,4.05
"21636",1.35,"Very Good","G","VS1",60.1,56,9729,7.16,7.21,4.32
"21698",0.34,"Premium","I","VVS1",62.6,58,626,4.45,4.47,2.79
"21796",1,"Very Good","F","VVS1",61.1,57,9870,6.36,6.51,3.93
"21852",1.57,"Ideal","I","VS2",61.5,56,9912,7.49,7.56,4.63
"21864",1.5,"Ideal","I","SI1",61.5,57,9926,7.4,7.35,4.54
"21931",1.23,"Very Good","G","VVS2",60.6,55,10004,6.93,7.02,4.23
"21951",1.26,"Very Good","G","VVS2",60.9,56,10020,6.95,7.01,4.25
"21981",1.03,"Ideal","F","VVS2",61.1,57,10049,6.51,6.54,3.99
"22147",2.01,"Fair","H","SI2",64.9,56,10184,7.88,7.81,5.09
"22196",1.51,"Premium","G","SI1",62.5,60,10235,7.28,7.32,4.56
"22633",1.21,"Ideal","G","VS1",61.3,57,10685,6.82,6.87,4.2
"23247",1.51,"Ideal","G","SI1",62.9,57,11255,7.3,7.27,4.58
"23692",1.5,"Very Good","D","SI1",61,61,11756,7.28,7.32,4.45
"23911",1.7,"Ideal","I","VS1",63,55,12030,7.75,7.54,4.76
"24228",2.01,"Premium","H","SI2",60.8,59,12423,8.08,8,4.89
"24571",1.5,"Very Good","F","VS2",62.6,59,12870,7.22,7.31,4.55
"24663",2.15,"Ideal","I","SI1",60.9,56,13006,8.38,8.33,5.09
"25215",2.02,"Premium","J","VS2",62,59,13812,8.08,8.06,5
"25253",1.43,"Premium","D","VS2",62.6,59,13873,7.19,7.21,4.51
"25411",2.04,"Ideal","J","SI1",61.7,57,14130,8.11,8.17,5.02
"25449",1.5,"Premium","F","VS2",61.1,58,14199,7.36,7.33,4.49
"25655",2.01,"Premium","H","SI2",62.3,60,14558,7.97,7.95,4.96
"25727",2.03,"Very Good","E","SI2",63.1,56,14646,8.01,7.99,5.05
"25799",1.5,"Premium","E","VS2",61.8,59,14790,7.31,7.38,4.54
"26475",2.37,"Ideal","J","VS2",62.2,57,16059,8.52,8.58,5.32
"26817",2.02,"Premium","I","VS2",59.6,60,16709,8.2,8.25,4.9
"26939",1.5,"Very Good","E","VS1",59.5,61,16988,7.43,7.46,4.43
"27183",2.2,"Ideal","H","VS2",61.7,55,17460,8.41,8.38,5.18
"27655",2.01,"Ideal","G","VS2",61.4,54,18607,8.16,8.09,4.99
"28442",0.43,"Very Good","E","SI2",59.9,57,671,4.88,4.94,2.94
"28487",0.4,"Good","G","SI2",60.6,55.8,672,4.76,4.82,2.91
"28738",0.31,"Ideal","E","VS2",61.6,56,680,4.32,4.38,2.68
"28741",0.31,"Ideal","E","VS2",60.8,54,680,4.39,4.4,2.67
"29031",0.31,"Ideal","H","VVS1",62.3,54,687,4.37,4.4,2.73
"29276",0.31,"Premium","I","VVS2",62.1,58,698,4.33,4.3,2.68
"29618",0.36,"Ideal","I","SI2",62.1,54,439,4.56,4.58,2.84
"30033",0.39,"Good","H","VS2",63.1,58,718,4.63,4.66,2.93
"30247",0.26,"Very Good","F","VVS1",63.3,57,724,4.07,4.05,2.57
"30521",0.26,"Ideal","E","VVS2",61.3,57,733,4.12,4.15,2.53
"30604",0.3,"Ideal","D","SI2",60.2,56,447,4.37,4.4,2.64
"30950",0.32,"Very Good","H","SI1",61.9,59,449,4.38,4.41,2.72
"31076",0.33,"Very Good","G","VVS2",60.9,57,752,4.43,4.5,2.72
"31117",0.38,"Ideal","H","VS1",62.4,53,754,4.67,4.69,2.92
"31248",0.37,"Premium","E","VS2",60.2,58,757,4.65,4.68,2.81
"31262",0.32,"Very Good","I","VS2",61.1,57,449,4.39,4.42,2.69
"31574",0.31,"Ideal","E","VVS2",60.8,56,767,4.39,4.42,2.68
"31857",0.3,"Ideal","H","VVS2",61.7,54,776,4.34,4.31,2.67
"31947",0.3,"Premium","F","VS2",62.5,58,776,4.32,4.29,2.69
"31964",0.26,"Very Good","E","VS2",62.1,56,452,4.11,4.13,2.56
"32023",0.31,"Very Good","H","IF",61.3,55,778,4.37,4.4,2.69
"32117",0.4,"Good","G","VS1",63.4,56,783,4.68,4.72,2.98
"32224",0.31,"Ideal","G","VVS1",60.2,58,789,4.37,4.4,2.64
"32273",0.3,"Very Good","E","VVS2",60.8,60,789,4.27,4.31,2.61
"32300",0.34,"Ideal","E","SI2",61.4,55,454,4.5,4.52,2.77
"32390",0.4,"Very Good","E","VS2",63.8,55,791,4.66,4.71,2.99
"32412",0.41,"Ideal","D","SI1",60.3,57,791,4.82,4.86,2.92
"32447",0.43,"Very Good","F","SI1",62.5,56,792,4.82,4.85,3.02
"32805",0.34,"Ideal","D","VS2",62,54,805,4.48,4.52,2.79
"33176",0.41,"Ideal","E","SI2",63,57,818,4.73,4.7,2.97
"33379",0.41,"Premium","I","VVS2",59.9,58,827,4.81,4.87,2.9
"33494",0.32,"Premium","F","VS2",61.3,60,828,4.4,4.37,2.69
"33650",0.32,"Ideal","D","VVS2",61.7,57,834,4.39,4.42,2.72
"33798",0.32,"Ideal","G","VVS1",61.4,55,842,4.42,4.44,2.72
"33934",0.33,"Premium","I","VS2",62,60,463,4.41,4.46,2.75
"33965",0.35,"Very Good","D","VS1",59.9,56,846,4.61,4.64,2.77
"34208",0.39,"Premium","G","SI1",61.7,57,854,4.77,4.7,2.92
"34250",0.38,"Ideal","G","SI1",62.4,57,855,4.65,4.62,2.89
"34365",0.41,"Ideal","F","VS2",61.1,56,863,4.8,4.83,2.94
"34511",0.33,"Premium","G","VVS1",60.9,60,868,4.46,4.5,2.73
"34743",0.37,"Ideal","E","VVS2",61.4,56,876,4.64,4.67,2.86
"34800",0.4,"Ideal","G","VS1",60.7,57,877,4.77,4.78,2.9
"34983",0.34,"Premium","F","VS2",62.9,58,880,4.46,4.44,2.8
"35335",0.32,"Ideal","E","VS1",61,57,898,4.4,4.42,2.69
"35536",0.34,"Premium","F","VS1",60,59,905,4.59,4.55,2.74
"35625",0.3,"Premium","I","VS1",60.5,60,473,4.3,4.33,2.61
"35798",0.34,"Ideal","F","VVS2",61.8,56,914,4.49,4.47,2.77
"35916",0.43,"Premium","H","SI1",59,58,919,4.96,4.93,2.92
"36178",0.52,"Ideal","J","SI1",62,54,930,5.15,5.18,3.2
"36702",0.43,"Ideal","J","IF",62.4,56,952,4.87,4.84,3.03
"36729",0.32,"Very Good","G","IF",61.8,55,954,4.39,4.45,2.73
"36806",0.3,"Ideal","G","IF",62.8,57,956,4.32,4.28,2.7
"36977",0.4,"Very Good","D","VS1",63.2,60,963,4.65,4.69,2.95
"37304",0.7,"Fair","G","I1",68.3,56,978,5.52,5.4,3.73
"37341",0.41,"Good","E","VS2",63.1,64,981,4.66,4.63,2.93
"37715",0.34,"Ideal","H","VVS1",61.8,57,995,4.46,4.44,2.75
"37719",0.34,"Premium","G","VVS2",61.4,59,995,4.52,4.47,2.76
"38415",0.39,"Premium","D","VS2",61.4,60,1024,4.72,4.7,2.89
"38431",0.38,"Premium","F","VS2",60.5,59,1026,4.72,4.67,2.84
"38679",0.3,"Ideal","D","VVS2",61.7,57,1041,4.3,4.32,2.66
"38724",0.41,"Very Good","H","VVS1",61.4,60,1043,4.73,4.78,2.92
"38810",0.31,"Very Good","G","VVS1",63.5,57,1046,4.33,4.3,2.74
"38825",0.5,"Very Good","I","SI1",63.5,56,1048,5.02,5.06,3.2
"38873",0.4,"Premium","F","VS1",61.9,59,1050,4.7,4.67,2.9
"38932",0.4,"Premium","E","VS1",60.4,59,1053,4.76,4.81,2.89
"39349",0.54,"Ideal","H","SI2",61.6,56,1073,5.25,5.28,3.24
"39405",0.41,"Premium","G","VVS2",61.6,58,1076,4.8,4.74,2.94
"39501",0.33,"Ideal","E","IF",60.8,57,1079,4.44,4.47,2.71
"39625",0.3,"Very Good","G","VS2",61.1,62,491,4.28,4.33,2.63
"39723",0.5,"Good","E","SI1",64,57,1090,5.04,4.99,3.21
"39833",0.5,"Very Good","G","SI1",61.1,57,1098,5.14,5.2,3.16
"39858",0.51,"Ideal","F","SI2",61,55,1100,5.18,5.21,3.17
"39882",0.42,"Ideal","G","VVS2",62.7,56,1103,4.77,4.74,2.98
"40008",0.41,"Premium","F","VS2",62.8,58,1107,4.73,4.69,2.96
"40273",0.23,"Ideal","F","VS1",61.9,56,493,3.94,3.96,2.44
"40329",0.53,"Good","E","SI2",63,60,1127,5.11,5.14,3.23
"40345",0.51,"Ideal","G","SI2",61.5,55,1129,5.16,5.18,3.18
"40367",0.33,"Ideal","E","VVS1",61.3,56,1130,4.43,4.48,2.73
"40437",0.5,"Premium","G","SI1",63,56,1138,5.07,5.02,3.18
"41420",0.52,"Ideal","F","SI2",60.9,57,1226,5.22,5.2,3.17
"41513",0.44,"Ideal","G","VVS1",61.6,56,1235,4.88,4.9,3.01
"41529",0.42,"Ideal","G","VVS1",61.6,55,1235,4.85,4.82,2.98
"41548",0.63,"Fair","H","SI2",64.7,61,1235,5.33,5.27,3.43
"41594",0.24,"Very Good","G","VS1",62.4,56,391,3.99,4.03,2.5
"41640",0.3,"Premium","E","SI2",58.8,60,504,4.42,4.39,2.59
"41776",0.53,"Good","E","SI1",56.7,59,1246,5.39,5.37,3.05
"42032",0.53,"Good","F","SI1",63.8,56,1268,5.13,5.16,3.28
"42064",0.62,"Ideal","I","SI1",61.9,54,1271,5.48,5.5,3.4
"42204",0.52,"Very Good","I","VVS2",61.9,56,1289,5.16,5.18,3.2
"42639",0.5,"Ideal","D","SI2",62.5,55,1332,5.14,5.07,3.19
"42923",0.53,"Premium","G","SI1",61.3,58,1363,5.21,5.16,3.18
"43121",0.52,"Ideal","D","SI2",62.9,56,1385,5.17,5.14,3.24
"43419",0.41,"Ideal","D","VVS1",62.7,56,1413,4.77,4.74,2.98
"43648",0.6,"Premium","G","SI2",60.8,58,1433,5.49,5.44,3.32
"43717",0.51,"Very Good","H","VS1",63.4,57,1437,5.09,5.06,3.22
"43875",0.5,"Ideal","E","VS2",62.7,55,1451,5.08,5.12,3.2
"44221",0.57,"Premium","F","SI1",59.5,58,1571,5.43,5.36,3.21
"44792",0.5,"Ideal","E","VS2",62.2,54,1624,5.08,5.11,3.17
"44856",0.5,"Very Good","D","VS2",62.8,60,1627,5.02,5.08,3.17
"44927",0.51,"Ideal","G","VS1",60.2,57,1632,5.16,5.21,3.13
"45219",0.51,"Ideal","E","VS2",62.2,57,1656,5.08,5.11,3.17
"45282",0.55,"Ideal","G","VS2",61.4,56.3,1662,5.26,5.29,3.24
"45293",0.51,"Ideal","E","VS2",61.4,55,1662,5.2,5.15,3.18
"45457",0.5,"Ideal","E","VS1",61.9,55,1675,5.08,5.13,3.16
"45786",0.55,"Premium","E","VS2",58.1,62,1708,5.46,5.38,3.15
"45931",0.61,"Very Good","E","SI1",60.1,59,1721,5.48,5.51,3.3
"46115",0.48,"Good","D","VS1",59.3,58,1743,5.09,5.13,3.03
"46159",0.5,"Ideal","E","VS2",61.5,57,1746,5.14,5.11,3.15
"46421",0.5,"Ideal","E","VS2",60.8,57,1768,5.16,5.13,3.13
"46563",0.53,"Ideal","D","VS2",61.4,56,1783,5.21,5.18,3.19
"46662",0.51,"Ideal","D","VS2",61.2,55,1787,5.13,5.17,3.15
"46708",0.7,"Very Good","F","SI2",63.2,59,1792,5.66,5.61,3.56
"46812",0.51,"Premium","D","VS2",62.7,59,1807,5.09,5.05,3.18
"46928",0.52,"Premium","G","VS1",62.4,59,1815,5.16,5.13,3.21
"47586",0.58,"Ideal","H","VS2",61.8,55,1876,5.36,5.39,3.32
"48045",0.7,"Very Good","E","SI1",63.3,58,1926,5.63,5.57,3.55
"48194",0.53,"Premium","E","VS2",59.9,61,1946,5.3,5.25,3.16
"48422",0.61,"Good","F","VS2",63,64.2,1971,5.29,5.32,3.34
"48708",0.7,"Good","I","VS2",63.6,58,2010,5.57,5.59,3.55
"48716",0.77,"Premium","J","SI1",61.8,59,2010,5.86,5.82,3.61
"48956",0.7,"Very Good","H","SI1",62,60,2048,5.65,5.7,3.52
"48972",0.34,"Ideal","I","VS1",62.4,55,537,4.47,4.51,2.8
"49087",0.57,"Ideal","E","VS1",60.8,54.8,2061,5.36,5.4,3.27
"49112",0.57,"Ideal","F","VS1",61.4,55,2065,5.38,5.39,3.3
"49210",0.55,"Ideal","E","VS1",61.7,55,2079,5.29,5.27,3.26
"49235",0.7,"Ideal","I","SI1",62.1,58,2083,5.68,5.72,3.54
"49254",0.73,"Ideal","F","SI2",61.7,57,2087,5.78,5.82,3.58
"49344",0.71,"Good","H","SI1",63.5,57,2096,5.64,5.67,3.59
"49395",0.71,"Fair","I","VS1",64.5,56,2104,5.61,5.56,3.6
"49591",0.53,"Very Good","G","VVS1",58.9,60,2136,5.23,5.3,3.1
"49652",0.59,"Ideal","F","VS1",61.1,56,2140,5.43,5.47,3.33
"49751",0.63,"Very Good","G","VS1",63.1,58,2157,5.42,5.46,3.43
"50023",0.61,"Good","F","VS1",60,65,2196,5.53,5.47,3.3
"50180",0.64,"Very Good","E","VS2",60.5,58.1,2222,5.59,5.62,3.39
"50615",0.27,"Very Good","G","VS1",58.8,57,399,4.25,4.36,2.53
"50712",0.7,"Very Good","G","SI1",63.5,56,2293,5.64,5.7,3.6
"50931",0.71,"Ideal","I","SI1",62,54,2319,5.72,5.75,3.55
"51236",0.72,"Very Good","G","SI1",63.1,57,2353,5.66,5.72,3.59
"51675",0.67,"Good","F","VVS2",63.8,61,2398,5.46,5.54,3.52
"51863",0.73,"Very Good","I","VS2",62.8,59,2426,5.72,5.75,3.6
"52005",0.7,"Premium","E","SI1",60,62,2444,5.79,5.75,3.46
"52111",0.91,"Premium","F","SI2",60.5,59,2461,6.21,6.19,3.75
"52364",0.54,"Good","E","VVS2",60.1,61,2502,5.3,5.38,3.21
"52623",0.33,"Ideal","F","SI1",60.6,56,550,4.46,4.49,2.71
"52937",0.7,"Premium","E","SI1",59.1,62,2592,5.8,5.74,3.41
"53153",0.71,"Good","G","VS2",64.2,58,2623,5.62,5.59,3.6
"53245",0.73,"Ideal","E","SI1",60.5,57,2644,5.85,5.88,3.55
"53274",0.71,"Very Good","G","VS2",62.1,58,2649,5.69,5.77,3.56
"53365",0.77,"Premium","G","SI1",62.7,57,2657,5.85,5.79,3.65
"53366",0.7,"Very Good","G","VS2",63.1,55,2657,5.64,5.61,3.55
"53392",0.78,"Ideal","E","SI1",62.7,56,2664,5.88,5.83,3.67
"53437",0.7,"Very Good","E","VS2",62.9,56,2673,5.61,5.67,3.55
"53455",0.7,"Ideal","F","VS2",62.2,55,2676,5.66,5.72,3.54
"53593",0.7,"Good","H","VVS2",58.9,61.5,2699,5.77,5.84,3.42
"53611",0.35,"Ideal","I","VS1",61.6,56,552,4.54,4.58,2.81
